round,rank_group,n,prop_of_players_128,prop_of_players_64,prop_of_players_32,,from,to,weight,,entry,128,64,32
128,"(0,5]",3,0.023255813953488,0.03125,0.033333333333333,,entry,"128 (0,5] ",0.023255813953488,,,0.023255813953488,0.03125,0.033333333333333
128,"(5,20]",14,0.108527131782946,0.171875,0.333333333333333,,"128 (0,5] ","64 (0,5] ",0.03125,,,0.108527131782946,0.171875,0.333333333333333
128,"(20,50]",27,0.209302325581395,0.203125,0.3,,"64 (0,5] ","32 (0,5]",0.033333333333333,,,,,
128,"(50,100]",48,0.372093023255814,0.40625,0.233333333333333,,entry,"128 (5,20]",,,,,,
128,"(100,200]",30,0.232558139534884,0.1875,0.1,,"128 (5,20] ","64 (5,20]",,,,,,
128,"(200,Inf]",7,0.054263565891473,0,0,,"64 (5,20] ","32 (5,20]",,,,,,
64,"(0,5]",2,0.03125,,,,,,,,,,,
64,"(5,20]",11,0.171875,,,,,,,,,,,
64,"(20,50]",13,0.203125,,,,,,,,,,,
64,"(50,100]",26,0.40625,,,,,,,,,,,
64,"(100,200]",12,0.1875,,,,,,,,,,,
32,"(0,5]",1,0.033333333333333,,,,,,,,,,,
32,"(5,20]",10,0.333333333333333,,,,,,,,,,,
32,"(20,50]",9,0.3,,,,,,,,,,,
32,"(50,100]",7,0.233333333333333,,,,,,,,,,,
32,"(100,200]",3,0.1,,,,,,,,,,,
